station,depth,kpa,vwc
arskeogh,-100,1.0553580525782695,0.4391
arskeogh,-100,1.2314019251910537,0.4379
arskeogh,-100,1.2145064573827147,0.43670000000000003
arskeogh,-100,1.2776144886787246,0.4354
arskeogh,-100,1.5184476656004717,0.434
arskeogh,-100,1.6121291404067954,0.4325
arskeogh,-100,1.4873042818228792,0.431
arskeogh,-100,1.4269206672372217,0.4293
arskeogh,-100,1.5973490516075708,0.4275
arskeogh,-100,1.792255113865434,0.42560000000000003
arskeogh,-100,1.9606488917968077,0.4236
arskeogh,-100,2.125200102764407,0.4215
arskeogh,-100,2.303561589066968,0.4191
arskeogh,-100,2.4740007573338962,0.41659999999999997
arskeogh,-100,2.657050619500826,0.414
arskeogh,-100,2.8602225627462428,0.4115
arskeogh,-100,3.057734886366605,0.4092
arskeogh,-100,3.261368169549064,0.40700000000000003
arskeogh,-100,3.470562167484654,0.4048
arskeogh,-100,3.6846804342004327,0.4025
arskeogh,-100,3.912008846687667,0.40009999999999996
arskeogh,-100,4.14380994378042,0.39770000000000005
arskeogh,-100,4.369178905857876,0.3951
arskeogh,-100,4.58563864007057,0.3926
arskeogh,-100,4.8128223152216005,0.3901
arskeogh,-100,5.028052784229067,0.3875
arskeogh,-100,5.252908406993546,0.3851
arskeogh,-100,5.462605381685586,0.38270000000000004
arskeogh,-100,5.667608307899197,0.3803
arskeogh,-100,5.880304669171661,0.3779
arskeogh,-100,6.100983187932936,0.3754
arskeogh,-100,6.344535448515521,0.3726
arskeogh,-100,6.5978103557286065,0.3697
arskeogh,-100,6.845415726246779,0.3669
arskeogh,-100,7.085978466687943,0.3643
arskeogh,-100,7.3688519021392676,0.3615
arskeogh,-100,7.698388574608548,0.35840000000000005
arskeogh,-100,8.061202450461483,0.355
arskeogh,-100,8.421701191229369,0.35159999999999997
arskeogh,-100,8.81860374049054,0.34840000000000004
arskeogh,-100,9.29822022844017,0.34490000000000004
arskeogh,-100,9.758876640701246,0.3414
arskeogh,-100,10.26596615736176,0.33799999999999997
arskeogh,-100,10.774567053260007,0.3348
arskeogh,-100,11.334433746981365,0.33159999999999995
arskeogh,-100,11.923392163199686,0.3281
arskeogh,-100,12.54295396232868,0.3246
arskeogh,-100,13.19470935348969,0.3211
arskeogh,-100,13.848407300223077,0.3176
arskeogh,-100,14.534491030842675,0.3143
arskeogh,-100,15.219480489785115,0.311
arskeogh,-100,15.900098993714996,0.30760000000000004
arskeogh,-100,16.649447573154355,0.3041
arskeogh,-100,17.434111863126695,0.3005
arskeogh,-100,18.29784010622225,0.29710000000000003
arskeogh,-100,19.160190742896024,0.29359999999999997
arskeogh,-100,20.063182712986997,0.2899
arskeogh,-100,21.05716151108366,0.2863
arskeogh,-100,22.253576979253147,0.28300000000000003
arskeogh,-100,23.680988572989612,0.27949999999999997
arskeogh,-100,25.142000358016826,0.2758
arskeogh,-100,26.631757537638077,0.2725
arskeogh,-100,28.144907666908747,0.2693
arskeogh,-100,29.7440312175909,0.2663
arskeogh,-100,31.43401298534769,0.2633
arskeogh,-100,33.22001530776494,0.2601
arskeogh,-100,35.1884249651966,0.257
arskeogh,-100,37.10221418795031,0.25379999999999997
arskeogh,-100,39.030114760146795,0.2506
arskeogh,-100,41.15284156774586,0.2473
arskeogh,-100,43.39101689829671,0.2437
arskeogh,-100,45.856386400705695,0.2398
arskeogh,-100,48.350372936758426,0.23600000000000002
arskeogh,-100,50.97999966014864,0.2325
arskeogh,-100,53.876556260551446,0.2293
arskeogh,-100,56.80673494381186,0.2261
arskeogh,-100,59.7585193372715,0.223
arskeogh,-100,62.71910151790669,0.22010000000000002
arskeogh,-100,65.6749617075026,0.21739999999999998
arskeogh,-100,68.77012729607564,0.21489999999999998
arskeogh,-100,71.84554246459848,0.21230000000000002
arskeogh,-100,74.71362843386395,0.20980000000000001
arskeogh,-100,77.69620887063448,0.20739999999999997
arskeogh,-100,80.61202450461482,0.2048
arskeogh,-100,89.41282738783428,0.16690000000000002
arskeogh,-100,204.83295400529795,0.17149999999999999
arskeogh,-100,8538.858725059623,0.1017
arskeogh,-100,38141.68088179221,0.0663
arskeogh,-200,1.0408779972536517,0.4827
arskeogh,-200,1.2201123644817502,0.48100000000000004
arskeogh,-200,1.2571868457411979,0.47950000000000004
arskeogh,-200,1.3944399873753135,0.4772
arskeogh,-200,1.619570390420603,0.47490000000000004
arskeogh,-200,1.6383241316771644,0.4728
arskeogh,-200,1.6534833582242563,0.47130000000000005
arskeogh,-200,1.7676644518231068,0.4702
arskeogh,-200,1.8680987431012228,0.4689
arskeogh,-200,1.95164052841881,0.46759999999999996
arskeogh,-200,2.0295503419520027,0.4661
arskeogh,-200,2.0816122176472733,0.4646
arskeogh,-200,2.1399312861205892,0.4631
arskeogh,-200,2.1897766890495407,0.46159999999999995
arskeogh,-200,2.23048767722752,0.46009999999999995
arskeogh,-200,2.2877039826284347,0.4585
arskeogh,-200,2.3248761820212307,0.4568
arskeogh,-200,2.319529115182117,0.4551
arskeogh,-200,2.2929776849601518,0.4534
arskeogh,-200,2.357218431379346,0.4514
arskeogh,-200,2.479703918084456,0.44939999999999997
arskeogh,-200,2.5905968209038686,0.4472
arskeogh,-200,2.7126878876583445,0.4447
arskeogh,-200,2.820978837976147,0.4421
arskeogh,-200,2.920114146499205,0.4395
arskeogh,-200,3.0507022912804103,0.43670000000000003
arskeogh,-200,3.2018414918856455,0.4335
arskeogh,-200,3.360468495553434,0.4302
arskeogh,-200,3.486581554597895,0.42710000000000004
arskeogh,-200,3.6008068676282803,0.4244
