station,depth,model,params
blmplevn,-500,FX,"[{""r"":-0.23217617,""s"":0.40116116,""n"":1.52938475,""m"":0.33059611,""h"":5.99813475}]"
blmplevn,-500,VG,"[{""r"":0.02792049,""s"":0.4061063,""a"":0.06896391,""n"":1.40392242}]"
blmpumpk,-100,FX,"[{""r"":-0.12984527,""s"":0.40056907,""n"":4.53874741,""m"":0.31972137,""h"":4.23925773}]"
blmpumpk,-100,VG,"[{""r"":0.06664311,""s"":0.43975956,""a"":0.03684753,""n"":2.08771013}]"
blmpumpk,-200,FX,"[{""r"":0.03220523,""s"":0.39791042,""n"":3.58554561,""m"":1.44088151,""h"":3.67328602}]"
blmpumpk,-200,VG,"[{""r"":0.04805133,""s"":0.40381082,""a"":0.01069306,""n"":3.36767442}]"
blmpumpk,-500,FX,"[{""r"":-0.0819424,""s"":0.39170762,""n"":6.59410702,""m"":0.33898453,""h"":4.63686627}]"
blmpumpk,-500,VG,"[{""r"":0.09941355,""s"":0.41060558,""a"":0.00369628,""n"":3.14412799}]"
blmround,-100,FX,"[{""r"":-12.93648084,""s"":0.50262108,""n"":1.53812125,""m"":0.01054054,""h"":4.38505227}]"
blmround,-100,VG,"[{""r"":0.08522372,""s"":0.51404748,""a"":0.1491203,""n"":1.25269842}]"
blmround,-200,FX,"[{""r"":-9.86010151,""s"":0.55058241,""n"":0.8516584,""m"":0.02027556,""h"":1.80507713}]"
blmround,-200,VG,"[{""r"":-0.04549011,""s"":0.54153245,""a"":0.53389312,""n"":1.13608372}]"
blmround,-500,FX,"[{""r"":-15.78009727,""s"":0.47758752,""n"":1.57254175,""m"":0.00870402,""h"":6.62896953}]"
blmround,-500,VG,"[{""r"":0.06396197,""s"":0.49095528,""a"":0.09034267,""n"":1.25877994}]"
blmroyno,-100,FX,"[{""r"":-9.84420424,""s"":0.5096784,""n"":1.13784918,""m"":0.01718112,""h"":5.42611278}]"
blmroyno,-100,VG,"[{""r"":0.02566623,""s"":0.51067177,""a"":0.11528556,""n"":1.20742308}]"
blmroyno,-200,FX,"[{""r"":-21.92866555,""s"":0.48491997,""n"":1.18772685,""m"":0.0064054,""h"":10.06895991}]"
blmroyno,-200,VG,"[{""r"":-0.0097005,""s"":0.48839085,""a"":0.07761532,""n"":1.14588751}]"
blmroyno,-500,FX,"[{""r"":-17.68161167,""s"":0.47167003,""n"":1.32808769,""m"":0.00778856,""h"":8.2853596}]"
blmroyno,-500,VG,"[{""r"":-0.01660857,""s"":0.48274249,""a"":0.11608379,""n"":1.15501933}]"
blmterry,-100,FX,"[{""r"":-0.58353365,""s"":0.22383276,""n"":0.72456526,""m"":0.14301432,""h"":0.81370543}]"
blmterry,-100,VG,"[{""r"":0.02312248,""s"":0.17698224,""a"":0.04205844,""n"":1.45272929}]"
blmterry,-200,FX,"[{""r"":-1.5819071,""s"":0.20518052,""n"":1.15192509,""m"":0.041053,""h"":1.29962904}]"
blmterry,-200,VG,"[{""r"":0.00671287,""s"":0.2073843,""a"":0.72977205,""n"":1.2034531}]"
blmterry,-500,FX,"[{""r"":-6.82218433,""s"":0.48444984,""n"":0.97697053,""m"":0.02453805,""h"":3.58776604}]"
blmterry,-500,VG,"[{""r"":0.00736961,""s"":0.47987164,""a"":0.19993882,""n"":1.17856332}]"
blmwarre,-100,FX,"[{""r"":-0.06979757,""s"":0.37915213,""n"":2.48211913,""m"":0.45761448,""h"":6.09349004}]"
blmwarre,-100,VG,"[{""r"":0.05644138,""s"":0.39076675,""a"":0.02928324,""n"":1.7661203}]"
blmwarre,-200,FX,"[{""r"":-0.09089698,""s"":0.39585399,""n"":3.07064435,""m"":0.42905908,""h"":5.39858931}]"
blmwarre,-200,VG,"[{""r"":0.05974256,""s"":0.41362419,""a"":0.02467691,""n"":1.95520267}]"
blmwarre,-500,FX,"[{""r"":-0.0910912,""s"":0.32073191,""n"":5.76026805,""m"":0.31541236,""h"":6.12832381}]"
blmwarre,-500,VG,"[{""r"":0.07565316,""s"":0.33409417,""a"":0.00357961,""n"":2.70960091}]"
conradmt,-100,FX,"[{""r"":-10.94530547,""s"":0.49443923,""n"":1.55304292,""m"":0.01321101,""h"":3.11235778}]"
conradmt,-100,VG,"[{""r"":0.06060836,""s"":0.51152058,""a"":0.23411008,""n"":1.26548143}]"
conradmt,-200,FX,"[{""r"":-7.38045742,""s"":0.53152504,""n"":1.35567399,""m"":0.02279013,""h"":1.50500448}]"
conradmt,-200,VG,"[{""r"":0.03707578,""s"":0.55167938,""a"":0.65614099,""n"":1.24118414}]"
conradmt,-500,FX,"[{""r"":-9.2230383,""s"":0.48763482,""n"":1.0674149,""m"":0.01879074,""h"":2.84503631}]"
conradmt,-500,VG,"[{""r"":-0.01025579,""s"":0.48731232,""a"":0.26836207,""n"":1.18981072}]"
