station,depth,model,params
mdaoilmo,-200,VG,"[{""r"":0.09220133,""s"":0.51400087,""a"":0.14459629,""n"":1.5259129}]"
mdaoilmo,-500,FX,"[{""r"":-5.53783597,""s"":0.47099814,""n"":2.99735438,""m"":0.02195806,""h"":3.80285658}]"
mdaoilmo,-500,VG,"[{""r"":0.11863797,""s"":0.49486027,""a"":0.0658158,""n"":1.66966516}]"
mdapower,-100,FX,"[{""r"":-10.42841284,""s"":0.44952609,""n"":1.66474049,""m"":0.01169423,""h"":2.66141601}]"
mdapower,-100,VG,"[{""r"":0.07026802,""s"":0.4710444,""a"":0.32795304,""n"":1.26499999}]"
mdapower,-200,FX,"[{""r"":-0.81149571,""s"":1.38272514,""n"":0.26025318,""m"":0.54958236,""h"":0.00007787}]"
mdapower,-200,VG,"[{""r"":-0.18639071,""s"":0.57578916,""a"":6.01335134,""n"":1.08834105}]"
mdapower,-500,FX,"[{""r"":-4.86740194,""s"":0.42701905,""n"":0.71007427,""m"":0.03779614,""h"":1.66297885}]"
mdapower,-500,VG,"[{""r"":-0.10147707,""s"":0.40388172,""a"":0.44768484,""n"":1.12453958}]"
mdascoby,-100,FX,"[{""r"":-5.59963308,""s"":0.49559636,""n"":0.70515134,""m"":0.03810808,""h"":3.01449213}]"
mdascoby,-100,VG,"[{""r"":-0.16607019,""s"":0.47622133,""a"":0.29894323,""n"":1.10840217}]"
mdascoby,-200,FX,"[{""r"":-8.60748031,""s"":0.42357977,""n"":0.75934799,""m"":0.02198871,""h"":7.58975843}]"
mdascoby,-200,VG,"[{""r"":-0.18801747,""s"":0.41344418,""a"":0.12929645,""n"":1.10390589}]"
mdascoby,-500,FX,"[{""r"":-12.78174531,""s"":0.37712653,""n"":1.40684758,""m"":0.01037756,""h"":11.22908739}]"
mdascoby,-500,VG,"[{""r"":0.01593085,""s"":0.37974191,""a"":0.03041831,""n"":1.29290315}]"
mdatost2,-100,FX,"[{""r"":-0.33637058,""s"":0.35115144,""n"":2.42391553,""m"":0.18295712,""h"":7.03819915}]"
mdatost2,-100,VG,"[{""r"":0.07225659,""s"":0.36257406,""a"":0.03180222,""n"":1.56831284}]"
mdatost2,-200,FX,"[{""r"":-0.10821878,""s"":0.35988274,""n"":2.60321799,""m"":0.3440526,""h"":4.84958484}]"
mdatost2,-200,VG,"[{""r"":0.07510854,""s"":0.37248641,""a"":0.04081588,""n"":1.76438882}]"
mdatost2,-500,FX,"[{""r"":-0.54111845,""s"":0.37297841,""n"":3.02429834,""m"":0.13577596,""h"":3.28034431}]"
mdatost2,-500,VG,"[{""r"":0.0511147,""s"":0.40451306,""a"":0.15200551,""n"":1.53275329}]"
mdatwinb,-100,FX,"[{""r"":-0.02663942,""s"":0.33610348,""n"":9.18592375,""m"":0.41545558,""h"":6.91446676}]"
mdatwinb,-100,VG,"[{""r"":0.06840196,""s"":0.57542963,""a"":0.01055454,""n"":2.84002895}]"
mdatwinb,-200,FX,"[{""r"":-0.03633088,""s"":0.36663526,""n"":3.38034516,""m"":0.49630961,""h"":5.02975574}]"
mdatwinb,-200,VG,"[{""r"":0.06331571,""s"":0.38282898,""a"":0.02122118,""n"":2.11177625}]"
mdatwinb,-500,FX,"[{""r"":-0.03208712,""s"":0.37951634,""n"":3.67324469,""m"":0.50345511,""h"":4.98728492}]"
mdatwinb,-500,VG,"[{""r"":0.07752239,""s"":0.39297791,""a"":0.01222244,""n"":2.37619111}]"
moltwest,-100,FX,"[{""r"":-0.04441544,""s"":0.34657481,""n"":3.53264619,""m"":0.40503219,""h"":4.41707913}]"
moltwest,-100,VG,"[{""r"":0.08594016,""s"":0.36289168,""a"":0.03156205,""n"":2.06734331}]"
moltwest,-200,FX,"[{""r"":0.23286507,""s"":0.28886316,""n"":-7.79741306,""m"":2.72398435,""h"":0.13639594}]"
moltwest,-200,VG,"[{""r"":0.08720397,""s"":0.45022109,""a"":0.0070415,""n"":2.49985863}]"
moltwest,-500,FX,"[{""r"":-4.90389321,""s"":0.46452816,""n"":4.22179208,""m"":0.02132066,""h"":4.41383255}]"
moltwest,-500,VG,"[{""r"":0.09123129,""s"":0.50257843,""a"":0.0732177,""n"":1.61746027}]"
namupper,-100,FX,"[{""r"":-0.20871158,""s"":0.54874124,""n"":1.21146033,""m"":0.47680573,""h"":7.15580615}]"
namupper,-100,VG,"[{""r"":0.00315448,""s"":0.54772373,""a"":0.08402003,""n"":1.32117436}]"
namupper,-200,FX,"[{""r"":-0.1324331,""s"":0.59423297,""n"":1.34475317,""m"":0.66722667,""h"":17.59851895}]"
namupper,-200,VG,"[{""r"":0.01057354,""s"":0.59264796,""a"":0.01543671,""n"":1.4725191}]"
namupper,-500,FX,"[{""r"":-0.06157081,""s"":0.41859305,""n"":1.90706773,""m"":0.600927,""h"":16.46596698}]"
namupper,-500,VG,"[{""r"":0.04212359,""s"":0.42366422,""a"":0.00776856,""n"":1.66186998}]"
raplejen,-100,FX,"[{""r"":-1.10622194,""s"":0.34416671,""n"":3.28253504,""m"":0.06912786,""h"":5.72242664}]"
raplejen,-100,VG,"[{""r"":0.06109338,""s"":0.36123883,""a"":0.04954716,""n"":1.56681211}]"
raplejen,-200,FX,"[{""r"":-0.18490409,""s"":0.41627601,""n"":3.11621835,""m"":0.27238049,""h"":4.23989833}]"
raplejen,-200,VG,"[{""r"":0.08616502,""s"":0.44294313,""a"":0.05935394,""n"":1.75380009}]"
raplejen,-500,FX,"[{""r"":-5.75770804,""s"":0.38557243,""n"":0.72455132,""m"":0.03119191,""h"":6.35272154}]"
raplejen,-500,VG,"[{""r"":-0.20048702,""s"":0.37301338,""a"":0.14991602,""n"":1.10048386}]"
reedpoin,-100,FX,"[{""r"":-0.63989779,""s"":0.43065289,""n"":1.76916699,""m"":0.15465926,""h"":3.0203995}]"
reedpoin,-100,VG,"[{""r"":0.05089661,""s"":0.45190996,""a"":0.22863377,""n"":1.36194114}]"
reedpoin,-200,FX,"[{""r"":-6.03575711,""s"":0.4236284,""n"":1.87223402,""m"":0.01951055,""h"":2.65742089}]"
reedpoin,-200,VG,"[{""r"":0.05782843,""s"":0.44932787,""a"":0.3060962,""n"":1.30925634}]"
reedpoin,-500,FX,"[{""r"":-7.9546024,""s"":0.36888896,""n"":1.70668248,""m"":0.01348468,""h"":3.25051677}]"
reedpoin,-500,VG,"[{""r"":0.04320248,""s"":0.38533794,""a"":0.22820862,""n"":1.28320158}]"
sidneymt,-100,FX,"[{""r"":-0.29160957,""s"":0.42367989,""n"":1.20477953,""m"":0.29625252,""h"":4.0614893}]"
sidneymt,-100,VG,"[{""r"":0.04293788,""s"":0.42280874,""a"":0.14673785,""n"":1.31295245}]"
sidneymt,-200,FX,"[{""r"":0.03724013,""s"":0.50486462,""n"":1.42803582,""m"":0.88874744,""h"":21.88201712}]"
sidneymt,-200,VG,"[{""r"":0.08840977,""s"":0.50391429,""a"":0.00965265,""n"":1.55340815}]"
sidneymt,-500,FX,"[{""r"":-6.65731019,""s"":0.38880387,""n"":0.81016911,""m"":0.02604363,""h"":8.70462524}]"
sidneymt,-500,VG,"[{""r"":-0.11785997,""s"":0.38083956,""a"":0.09157607,""n"":1.13308113}]"
turekran,-100,FX,"[{""r"":-0.99097917,""s"":2.00880472,""n"":0.56712646,""m"":0.42610266,""h"":0.000039}]"
turekran,-100,VG,"[{""r"":-0.14008686,""s"":0.75829071,""a"":154.47743839,""n"":1.09923757}]"
turekran,-200,FX,"[{""r"":-0.31396465,""s"":0.45653581,""n"":1.36660766,""m"":0.21213342,""h"":3.803184}]"
turekran,-200,VG,"[{""r"":0.12567771,""s"":0.46042126,""a"":0.14857111,""n"":1.32872572}]"
turekran,-500,FX,"[{""r"":-2.54355561,""s"":0.46984202,""n"":0.31132808,""m"":0.10081932,""h"":0.89912109}]"
turekran,-500,VG,"[{""r"":-1.08206683,""s"":0.40218412,""a"":0.86884921,""n"":1.02037776}]"
wrsround,-100,FX,"[{""r"":-4.98388108,""s"":0.15954237,""n"":1.95626313,""m"":0.01005323,""h"":4.63463691}]"
wrsround,-100,VG,"[{""r"":0.00191231,""s"":0.16800795,""a"":0.12020922,""n"":1.31977247}]"
wrsround,-200,FX,"[{""r"":-1.13461451,""s"":0.23577583,""n"":0.84018317,""m"":0.07977274,""h"":0.52083876}]"
wrsround,-200,VG,"[{""r"":-0.02634616,""s"":0.21284273,""a"":0.94677729,""n"":1.17766895}]"
wrsround,-500,FX,"[{""r"":-0.76715823,""s"":0.91423012,""n"":0.1245747,""m"":0.51215114,""h"":2.06831464e-11}]"
wrsround,-500,VG,"[{""r"":-0.05392029,""s"":0.15328443,""a"":0.13084052,""n"":1.13323896}]"
wsrabsaw,-100,FX,"[{""r"":-0.70252042,""s"":0.24640681,""n"":0.56772641,""m"":0.14498651,""h"":0.30243022}]"
wsrabsaw,-100,VG,"[{""r"":-0.00543319,""s"":0.19158648,""a"":0.33827739,""n"":1.19857489}]"
wsrabsaw,-200,FX,"[{""r"":-0.25317594,""s"":0.30742266,""n"":0.32860688,""m"":0.50683289,""h"":0.09310056}]"
wsrabsaw,-200,VG,"[{""r"":-0.04306569,""s"":0.19471386,""a"":0.47151287,""n"":1.13763898}]"
wsrabsaw,-500,FX,"[{""r"":-6.54508823,""s"":0.63593032,""n"":0.07065007,""m"":0.16927782,""h"":0.00142392}]"
wsrabsaw,-500,VG,"[{""r"":-10.38554986,""s"":0.17320015,""a"":0.09456038,""n"":1.00309385}]"
wsrboydw,-100,FX,"[{""r"":-0.17115271,""s"":0.38441529,""n"":0.24654804,""m"":0.7763872,""h"":0.01291425}]"
wsrboydw,-100,VG,"[{""r"":-0.02073267,""s"":0.19800702,""a"":0.51015624,""n"":1.14517089}]"
wsrboydw,-200,FX,"[{""r"":-1.24056329,""s"":0.4478335,""n"":0.75705421,""m"":0.12464958,""h"":0.8816664}]"
wsrboydw,-200,VG,"[{""r"":-0.03620162,""s"":0.42687325,""a"":0.98820277,""n"":1.14950388}]"
wsrboydw,-500,FX,"[{""r"":-0.18824993,""s"":0.37487456,""n"":0.24459616,""m"":0.73854726,""h"":0.01466292}]"
wsrboydw,-500,VG,"[{""r"":-0.00129621,""s"":0.18392317,""a"":0.14122914,""n"":1.20986843}]"
wsrbroad,-100,FX,"[{""r"":-7.78485311,""s"":0.43600912,""n"":1.03554732,""m"":0.02240166,""h"":2.63869701}]"
wsrbroad,-100,VG,"[{""r"":-0.06248394,""s"":0.43325632,""a"":0.28354029,""n"":1.18632934}]"
wsrbroad,-200,FX,"[{""r"":-0.02256868,""s"":0.50473353,""n"":0.30108991,""m"":4.98119737,""h"":1500.70419672}]"
wsrbroad,-200,VG,"[{""r"":-3.66268052,""s"":0.47423075,""a"":3.16676123,""n"":1.00989527}]"
wsrbroad,-500,FX,"[{""r"":-0.50909231,""s"":0.16794629,""n"":2.1515824,""m"":0.07717454,""h"":3.11632073}]"
wsrbroad,-500,VG,"[{""r"":0.03422836,""s"":0.17732235,""a"":0.18290921,""n"":1.42196808}]"
wsrmelvi,-100,FX,"[{""r"":-3.51917094,""s"":0.18688837,""n"":1.59739727,""m"":0.01606591,""h"":2.39792063}]"
wsrmelvi,-100,VG,"[{""r"":0.01239799,""s"":0.19561058,""a"":0.36507979,""n"":1.25900854}]"
wsrmelvi,-200,FX,"[{""r"":-0.56005209,""s"":0.59093332,""n"":0.13136626,""m"":0.56371221,""h"":1.04140115e-06}]"
wsrmelvi,-200,VG,"[{""r"":-0.11918556,""s"":0.19266977,""a"":1.01643013,""n"":1.07113702}]"
wsrmelvi,-500,FX,"[{""r"":-0.48260146,""s"":1.03241055,""n"":0.30349309,""m"":0.49372983,""h"":1.0968794e-09}]"
wsrmelvi,-500,VG,"[{""r"":-0.04063923,""s"":0.13228927,""a"":0.57740553,""n"":1.10768054}]"
