station,depth,model,mse
arskeogh,-500,VG,2.5006591211667144e-5
arskeose,-100,VG,4.094499067605805e-4
arskeose,-200,VG,8.574248625786056e-5
arskeose,-500,VG,2.7049197965157503e-5
arskeosw,-100,VG,1.1863049869888116e-4
arskeosw,-200,VG,1.108764028957672e-4
arskeosw,-500,VG,8.987065288751404e-5
bentlake,-100,VG,5.242577710760587e-6
bentlake,-200,VG,4.5044231158693266e-5
bentlake,-500,VG,2.236525945580072e-5
blmbattl,-100,VG,4.169985378890452e-5
blmbattl,-200,VG,3.057051725662483e-5
blmbattl,-500,VG,2.597279248091899e-4
blmbelfr,-100,VG,1.8290312870329487e-5
blmbelfr,-200,VG,3.5794811275140033e-5
blmbelfr,-500,VG,1.391664048822122e-5
blmbroad,-100,VG,6.562847957930566e-5
blmbroad,-200,VG,7.842246559266772e-5
blmbroad,-500,VG,1.105329759575612e-4
blmcapit,-100,VG,2.7469743358516907e-5
blmcapit,-200,VG,3.3360127339044595e-5
blmcapit,-500,VG,2.3187023448247856e-4
blmglend,-100,VG,2.5338562048948457e-4
blmglend,-200,VG,2.014982053216115e-4
blmglend,-500,VG,5.1679758551736145e-5
blmglnor,-100,VG,2.970602697285262e-4
blmglnor,-200,VG,1.214157566947445e-4
blmglnor,-500,VG,3.4434437391439497e-5
blmhardi,-100,VG,1.3702202854244165e-4
blmhardi,-200,VG,3.572764846243651e-5
blmhardi,-500,VG,5.392107013136742e-5
blmhavre,-100,VG,1.322480954556989e-4
blmhavre,-200,VG,2.9403574861332317e-5
blmhavre,-500,VG,1.4757065719081785e-4
blmmatad,-100,VG,1.0009551053970768e-5
blmmatad,-200,VG,1.964476635942681e-4
blmmatad,-500,VG,5.555357313270355e-5
blmplevn,-100,VG,4.325192490262422e-5
blmplevn,-200,VG,7.012291664333501e-5
blmplevn,-500,VG,1.4474377430559057e-5
blmpumpk,-100,VG,1.8109380786172804e-4
blmpumpk,-200,VG,9.164253900863364e-5
blmpumpk,-500,VG,1.9079899259316415e-4
blmround,-100,VG,1.3443181389793536e-4
blmround,-200,VG,4.1224999130492456e-5
blmround,-500,VG,7.397377971537842e-5
blmroyno,-100,VG,6.384697611273819e-5
blmroyno,-200,VG,7.80720274509449e-5
blmroyno,-500,VG,1.1131686527219924e-4
blmterry,-100,VG,5.94909298275166e-6
blmterry,-200,VG,5.751496114806235e-6
blmterry,-500,VG,6.947223853805425e-5
blmwarre,-100,VG,4.653964715919967e-5
blmwarre,-200,VG,6.000581790950939e-5
blmwarre,-500,VG,1.0387339345540774e-4
conradmt,-100,VG,5.265293832762171e-5
conradmt,-200,VG,5.052533985737781e-5
conradmt,-500,VG,2.2521838419289053e-5
